PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1af3, A, 1, 145 , 0.345, 0.874 , Single , 1, 
1s4k, A, 1, 115 , 0.096, 0.628 , Single , 2, 
1a37, A, 1, 195 , 0.195, 0.732 , Multi , 3, 
1a03, A, 1, 90 , 0.267, 0.848 , Single , 4, 
1a2k, A, 1, 124 , 0.435, 0.850 , Single , 1, 
1ag2, A, 1, 103 , 0.33, 0.787 , Single , 1, 
2ijq, A, 1, 146 , 0.479, 0.886 , Single , 1, 
1dg3, A, 2, 540 , 0.08, 0.401 , Multi , 2, 
1g4f, A, 1, 86 , 0.221, 0.684 , Single , 2, 
1e0a, A, 1, 184 , 0.261, 0.857 , Single , 1, 
1dlm, A, 1, 309 , 0.12, 0.704 , Multi , 2, 
2igs, A, 1, 220 , 0.241, 0.863 , Single , 1, 
1duc, A, 1, 121 , 0.207, 0.754 , Single , 1, 
1dq3, A, 4, 454 , 0.172, 0.803 , Multi , 1, 
1a79, A, 2, 171 , 0.058, 0.710 , Multi , 2, 
2onk, A, 1, 240 , 0.204, 0.825 , Single , 1, 
1ble, A, 1, 161 , 0.267, 0.845 , Single , 1, 
12ca, A, 1, 255 , 0.294, 0.910 , Single , 1, 
1brw, A, 3, 433 , 0.229, 0.844 , Single , 3, 
1mo7, A, 1, 213 , 0.296, 0.886 , Single , 3, 
2pv4, A, 1, 146 , 0.26, 0.778 , Single , 1, 
1a15, A, 1, 67 , 0.179, 0.701 , Single , 2, 
1p68, A, 1, 102 , 0.392, 0.638 , Single , 2, 
1fyb, A, 2, 111 , 0.027, 0.302 , Single , 2, 
1ai9, A, 1, 192 , 0.234, 0.830 , Single , 1, 
1ako, A, 1, 268 , 0.269, 0.933 , Single , 3, 
1e8o, A, 1, 74 , 0.486, 0.783 , Single , 1, 
1wpn, A, 1, 197 , 0.264, 0.818 , Single , 1, 
1j3l, A, 1, 163 , 0.264, 0.790 , Single , 1, 
1e7p, C, 1, 254 , 0.189, 0.693 , Multi , 2, 
1aa2, A, 1, 108 , 0.259, 0.926 , Single , 4, 
1b47, A, 3, 304 , 0.158, 0.803 , Multi , 1, 
1bct, A, 1, 69 , 0.145, 0.496 , Single , 2, 
