Chain:  3bwuC ,  Domains (CATH):  2 ,  Domain 1 :  2 - 118 ,  Domain 2 :  122 - 205 ,  Length:  210 ,  IS-Sum_2:  4.05 ,  IS-Sum_3:  23.5 ,  IS-Sum_4:  43.3 ,  Assigned Domain:  2
Chain:  2o8rA ,  Domains (CATH):  3 ,  Domain 1 :  4 - 317 ,  Domain 2 :  322 - 507 ,  Domain 3 :  510 - 689 ,  Length:  634 ,  IS-Sum_2:  1.09 ,  IS-Sum_3:  8.42 ,  IS-Sum_4:  14.8 ,  Assigned Domain:  3
Chain:  1i24A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 209    268 - 294 ,  Domain 2 :  210 - 267    295 - 378 ,  Length:  398 ,  IS-Sum_2:  7.99 ,  IS-Sum_3:  17.7 ,  IS-Sum_4:  26.4 ,  Assigned Domain:  2
Chain:  9wgaA ,  Domains (CATH):  4 ,  Domain 1 :  2 - 42 ,  Domain 2 :  43 - 85 ,  Domain 3 :  86 - 128 ,  Domain 4 :  129 - 171 ,  Length:  170 ,  IS-Sum_2:  1.41 ,  IS-Sum_3:  7.3 ,  IS-Sum_4:  10.2 ,  Assigned Domain:  4
Chain:  1hyuA ,  Domains (CATH):  4 ,  Domain 1 :  1 - 94 ,  Domain 2 :  103 - 197 ,  Domain 3 :  212 - 324    453 - 521 ,  Domain 4 :  327 - 449 ,  Length:  521 ,  IS-Sum_2:  2.2 ,  IS-Sum_3:  7.29 ,  IS-Sum_4:  15.7 ,  Assigned Domain:  4
Chain:  1qgiA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 147 ,  Domain 2 :  148 - 258 ,  Length:  259 ,  IS-Sum_2:  3.86 ,  IS-Sum_3:  14.3 ,  IS-Sum_4:  36.6 ,  Assigned Domain:  2
Chain:  2c0gA ,  Domains (CATH):  2 ,  Domain 1 :  1024 - 1145 ,  Domain 2 :  1146 - 1251 ,  Length:  229 ,  IS-Sum_2:  1.28 ,  IS-Sum_3:  16.9 ,  IS-Sum_4:  25.7 ,  Assigned Domain:  2
Chain:  1t33A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 62 ,  Domain 2 :  63 - 220 ,  Length:  220 ,  IS-Sum_2:  4.21 ,  IS-Sum_3:  13.8 ,  IS-Sum_4:  25.2 ,  Assigned Domain:  2
Chain:  2jf2A ,  Domains (CATH):  2 ,  Domain 1 :  -1 - 196 ,  Domain 2 :  197 - 262 ,  Length:  264 ,  IS-Sum_2:  6.43 ,  IS-Sum_3:  17.3 ,  IS-Sum_4:  34.8 ,  Assigned Domain:  2
Chain:  1jmcA ,  Domains (CATH):  2 ,  Domain 1 :  183 - 296 ,  Domain 2 :  297 - 420 ,  Length:  238 ,  IS-Sum_2:  1.53 ,  IS-Sum_3:  22.3 ,  IS-Sum_4:  34.7 ,  Assigned Domain:  2
Chain:  2zdrA ,  Domains (CATH):  2 ,  Domain 1 :  6 - 276 ,  Domain 2 :  277 - 349 ,  Length:  354 ,  IS-Sum_2:  0.622 ,  IS-Sum_3:  8.65 ,  IS-Sum_4:  21.3 ,  Assigned Domain:  2
Chain:  2i1qA ,  Domains (CATH):  2 ,  Domain 1 :  5 - 66 ,  Domain 2 :  67 - 322 ,  Length:  311 ,  IS-Sum_2:  6.67 ,  IS-Sum_3:  19.2 ,  IS-Sum_4:  32.6 ,  Assigned Domain:  2
Chain:  2j8gA ,  Domains (CATH):  3 ,  Domain 1 :  2 - 188 ,  Domain 2 :  200 - 281 ,  Domain 3 :  282 - 339 ,  Length:  338 ,  IS-Sum_2:  2.0 ,  IS-Sum_3:  10.6 ,  IS-Sum_4:  17.5 ,  Assigned Domain:  3
Chain:  1v33A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 176    280 - 346 ,  Domain 2 :  177 - 279 ,  Length:  346 ,  IS-Sum_2:  6.92 ,  IS-Sum_3:  19.5 ,  IS-Sum_4:  28.6 ,  Assigned Domain:  2
Chain:  1fcdC ,  Domains (CATH):  2 ,  Domain 1 :  1 - 78 ,  Domain 2 :  79 - 174 ,  Length:  174 ,  IS-Sum_2:  6.24 ,  IS-Sum_3:  20.8 ,  IS-Sum_4:  36.8 ,  Assigned Domain:  2
Chain:  1dkzA ,  Domains (CATH):  2 ,  Domain 1 :  389 - 523 ,  Domain 2 :  524 - 603 ,  Length:  215 ,  IS-Sum_2:  5.59 ,  IS-Sum_3:  17.0 ,  IS-Sum_4:  32.9 ,  Assigned Domain:  2
Chain:  1qo0A ,  Domains (CATH):  2 ,  Domain 1 :  8 - 122    262 - 338 ,  Domain 2 :  123 - 261    339 - 375 ,  Length:  373 ,  IS-Sum_2:  6.25 ,  IS-Sum_3:  19.9 ,  IS-Sum_4:  32.0 ,  Assigned Domain:  2
Chain:  1bg6A ,  Domains (CATH):  2 ,  Domain 1 :  4 - 195 ,  Domain 2 :  196 - 348 ,  Length:  349 ,  IS-Sum_2:  5.01 ,  IS-Sum_3:  15.3 ,  IS-Sum_4:  31.5 ,  Assigned Domain:  2
Chain:  1chmA ,  Domains (CATH):  2 ,  Domain 1 :  2 - 156 ,  Domain 2 :  157 - 402 ,  Length:  401 ,  IS-Sum_2:  4.66 ,  IS-Sum_3:  14.3 ,  IS-Sum_4:  28.3 ,  Assigned Domain:  2
Chain:  1hfuA ,  Domains (CATH):  3 ,  Domain 1 :  1 - 132 ,  Domain 2 :  133 - 312 ,  Domain 3 :  313 - 502 ,  Length:  500 ,  IS-Sum_2:  7.17 ,  IS-Sum_3:  18.0 ,  IS-Sum_4:  32.8 ,  Assigned Domain:  3
Chain:  2bfdB ,  Domains (CATH):  2 ,  Domain 1 :  17 - 213 ,  Domain 2 :  214 - 338 ,  Length:  348 ,  IS-Sum_2:  5.94 ,  IS-Sum_3:  20.7 ,  IS-Sum_4:  30.6 ,  Assigned Domain:  2
Chain:  1rh1A ,  Domains (CATH):  2 ,  Domain 1 :  10 - 290 ,  Domain 2 :  291 - 511 ,  Length:  490 ,  IS-Sum_2:  0.83 ,  IS-Sum_3:  9.1 ,  IS-Sum_4:  24.8 ,  Assigned Domain:  2
Chain:  1ni9A ,  Domains (CATH):  2 ,  Domain 1 :  -1 - 109    277 - 326 ,  Domain 2 :  110 - 276 ,  Length:  291 ,  IS-Sum_2:  2.38 ,  IS-Sum_3:  19.7 ,  IS-Sum_4:  35.9 ,  Assigned Domain:  2
Chain:  2i0zA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 194    355 - 420 ,  Domain 2 :  195 - 354 ,  Length:  427 ,  IS-Sum_2:  0.886 ,  IS-Sum_3:  17.4 ,  IS-Sum_4:  15.5 ,  Assigned Domain:  2
Chain:  1nmpA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 96    219 - 241 ,  Domain 2 :  97 - 218 ,  Length:  247 ,  IS-Sum_2:  5.4 ,  IS-Sum_3:  22.5 ,  IS-Sum_4:  39.2 ,  Assigned Domain:  2
Chain:  1rifA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 90 ,  Domain 2 :  91 - 282 ,  Length:  282 ,  IS-Sum_2:  6.01 ,  IS-Sum_3:  18.7 ,  IS-Sum_4:  31.3 ,  Assigned Domain:  2
Chain:  1zeeA ,  Domains (CATH):  2 ,  Domain 1 :  6 - 123 ,  Domain 2 :  147 - 392 ,  Length:  356 ,  IS-Sum_2:  4.45 ,  IS-Sum_3:  19.3 ,  IS-Sum_4:  28.8 ,  Assigned Domain:  2
Chain:  1cvjA ,  Domains (CATH):  2 ,  Domain 1 :  11 - 87 ,  Domain 2 :  88 - 179 ,  Length:  169 ,  IS-Sum_2:  1.86 ,  IS-Sum_3:  21.9 ,  IS-Sum_4:  42.0 ,  Assigned Domain:  2
Chain:  2hoxA ,  Domains (CATH):  3 ,  Domain 1 :  1 - 100 ,  Domain 2 :  101 - 310 ,  Domain 3 :  311 - 423 ,  Length:  426 ,  IS-Sum_2:  5.4 ,  IS-Sum_3:  18.0 ,  IS-Sum_4:  26.1 ,  Assigned Domain:  3
Chain:  1jx6A ,  Domains (CATH):  2 ,  Domain 1 :  27 - 177    311 - 337    360 - 363 ,  Domain 2 :  180 - 310    340 - 359 ,  Length:  338 ,  IS-Sum_2:  4.24 ,  IS-Sum_3:  15.1 ,  IS-Sum_4:  28.5 ,  Assigned Domain:  2
Chain:  1b25A ,  Domains (CATH):  3 ,  Domain 1 :  1 - 209 ,  Domain 2 :  210 - 238    417 - 608 ,  Domain 3 :  239 - 416 ,  Length:  611 ,  IS-Sum_2:  9.08 ,  IS-Sum_3:  19.6 ,  IS-Sum_4:  32.9 ,  Assigned Domain:  3
Chain:  1fepA ,  Domains (CATH):  2 ,  Domain 1 :  11 - 146 ,  Domain 2 :  152 - 724 ,  Length:  669 ,  IS-Sum_2:  9.66 ,  IS-Sum_3:  19.0 ,  IS-Sum_4:  34.8 ,  Assigned Domain:  2
Chain:  1nj1A ,  Domains (CATH):  3 ,  Domain 1 :  19 - 289 ,  Domain 2 :  290 - 393 ,  Domain 3 :  411 - 480 ,  Length:  463 ,  IS-Sum_2:  4.38 ,  IS-Sum_3:  12.7 ,  IS-Sum_4:  19.6 ,  Assigned Domain:  3
Chain:  2gl5A ,  Domains (CATH):  2 ,  Domain 1 :  0 - 113    382 - 400 ,  Domain 2 :  114 - 381 ,  Length:  408 ,  IS-Sum_2:  6.88 ,  IS-Sum_3:  17.9 ,  IS-Sum_4:  39.3 ,  Assigned Domain:  2
Chain:  1xr4A ,  Domains (CATH):  2 ,  Domain 1 :  0 - 236 ,  Domain 2 :  237 - 505 ,  Length:  494 ,  IS-Sum_2:  8.79 ,  IS-Sum_3:  7.13 ,  IS-Sum_4:  17.6 ,  Assigned Domain:  2
Chain:  1h4aX ,  Domains (CATH):  2 ,  Domain 1 :  1 - 83 ,  Domain 2 :  84 - 174 ,  Length:  174 ,  IS-Sum_2:  1.27 ,  IS-Sum_3:  27.7 ,  IS-Sum_4:  55.2 ,  Assigned Domain:  2
