4 , None , 136
2 , ('2', '102', '10') , 1
3 , ('1', '10', '405') , 0
2 , ('3', '90', '79') , 0
3 , ('2', '40', '33') , 9
2 , ('1', '10', '420') , 5
2 , ('3', '90', '1660') , 0
2 , ('3', '40', '50') , 48
4 , ('2', '60', '120') , 3
3 , ('2', '60', '120') , 1
2 , ('2', '30', '26') , 2
3 , ('1', '20', '1440') , 1
2 , None , 104
2 , ('1', '10', '3800') , 0
2 , ('3', '30', '1460') , 0
2 , ('2', '20', '130') , 0
4 , ('3', '30', '1490') , 8
2 , ('3', '50', '50') , 2
2 , ('3', '20', '20') , 21
4 , ('1', '20', '1220') , 2
3 , ('4', '10', '770') , 0
2 , ('1', '10', '167') , 0
2 , ('3', '30', '1540') , 1
3 , ('2', '30', '30') , 2
4 , ('1', '10', '486') , 5
4 , ('2', '160', '20') , 3
2 , ('3', '40', '50') , 48
2 , ('1', '10', '238') , 0
2 , ('3', '50', '100') , 0
4 , ('3', '30', '830') , 1
4 , ('1', '10', '3720') , 0
2 , ('2', '40', '10') , 21
2 , ('1', '10', '288') , 0
2 , ('2', '40', '50') , 6
2 , ('3', '30', '310') , 1
2 , ('3', '90', '640') , 0
3 , ('1', '10', '40') , 6
2 , None , 104
2 , ('3', '40', '50') , 48
2 , ('3', '90', '120') , 1
2 , ('1', '10', '1350') , 0
2 , ('3', '40', '720') , 0
4 , ('2', '40', '50') , 1
3 , ('1', '10', '1390') , 3
2 , ('3', '40', '50') , 48
4 , ('1', '10', '290') , 1
3 , None , 136
2 , ('1', '10', '1500') , 0
3 , ('3', '30', '1920') , 0
2 , None , 104
3 , ('1', '10', '3780') , 0
2 , ('1', '10', '8') , 2
4 , ('3', '90', '1700') , 1
2 , None , 104
3 , ('3', '30', '54') , 0
2 , ('3', '30', '420') , 3
2 , ('1', '20', '920') , 0
2 , ('2', '60', '320') , 0
3 , None , 136
2 , ('3', '30', '30') , 1
4 , None , 136
2 , ('2', '30', '250') , 0
2 , ('1', '10', '494') , 0
2 , ('3', '90', '450') , 0
3 , ('3', '10', '105') , 4
3 , ('2', '30', '220') , 0
2 , ('3', '40', '50') , 48
2 , ('3', '15', '20') , 0
3 , ('1', '20', '1320') , 0
3 , ('3', '40', '50') , 43
2 , ('3', '90', '1510') , 0
2 , ('3', '30', '9') , 2
3 , ('3', '30', '70') , 3
2 , ('3', '90', '660') , 2
2 , ('3', '30', '1930') , 0
3 , ('3', '40', '50') , 43
2 , ('1', '10', '40') , 0
2 , ('3', '30', '386') , 0
2 , ('3', '90', '25') , 5
2 , ('3', '30', '20') , 0
2 , ('1', '10', '730') , 0
3 , ('2', '40', '340') , 0
3 , ('2', '60', '40') , 22
3 , ('1', '10', '1870') , 0
2 , ('3', '90', '470') , 0
3 , ('3', '50', '7') , 20
4 , ('2', '40', '340') , 9
4 , ('2', '60', '40') , 62
2 , ('1', '10', '2020') , 0
2 , ('3', '40', '50') , 48
4 , ('3', '40', '190') , 9
3 , ('1', '10', '8') , 5
2 , ('3', '30', '1760') , 0
2 , ('2', '70', '250') , 0
3 , ('1', '10', '287') , 5
4 , ('3', '40', '1110') , 7
2 , ('2', '170', '120') , 0
4 , ('3', '30', '70') , 14
3 , ('2', '170', '260') , 0
2 , ('3', '90', '1070') , 1
2 , ('3', '30', '70') , 9
4 , None , 136
3 , ('3', '90', '228') , 2
4 , ('1', '10', '420') , 16
3 , ('3', '40', '640') , 1
2 , ('3', '30', '410') , 0
3 , ('1', '10', '490') , 0
3 , ('3', '40', '50') , 43
2 , ('3', '30', '70') , 9
2 , ('2', '30', '260') , 0
2 , ('1', '10', '274') , 0
3 , ('2', '40', '128') , 0
3 , ('1', '10', '10') , 6
2 , ('3', '20', '20') , 21
2 , ('1', '10', '340') , 0
3 , ('3', '40', '462') , 0
2 , ('1', '10', '530') , 0
2 , ('1', '10', '472') , 0
3 , ('3', '90', '226') , 3
3 , ('3', '30', '1180') , 0
2 , ('3', '30', '63') , 0
3 , ('1', '20', '58') , 1
3 , None , 136
4 , ('1', '10', '287') , 2
4 , ('1', '10', '132') , 2
3 , ('1', '20', '5') , 16
2 , ('2', '10', '300') , 0
2 , ('4', '10', '530') , 1
2 , ('3', '40', '1520') , 0
3 , None , 136
3 , ('3', '10', '50') , 5
3 , ('1', '10', '3410') , 0
4 , ('2', '40', '10') , 1
2 , ('1', '10', '286') , 0
2 , ('3', '20', '20') , 21
2 , ('4', '10', '110') , 0
3 , ('3', '90', '640') , 6
3 , ('1', '10', '730') , 1
2 , None , 104
4 , ('3', '40', '50') , 11
2 , ('3', '30', '450') , 1
2 , ('2', '30', '130') , 0
3 , ('1', '10', '1840') , 1
4 , ('3', '30', '390') , 5
4 , ('1', '20', '1610') , 1
2 , ('1', '10', '1020') , 0
2 , ('2', '60', '120') , 6
3 , ('3', '30', '1050') , 0
3 , ('1', '10', '405') , 0
2 , ('3', '90', '700') , 0
2 , ('1', '10', '287') , 4
2 , ('3', '90', '10') , 0
2 , ('3', '30', '1360') , 0
2 , ('1', '10', '3490') , 0
2 , ('2', '90', '10') , 0
3 , ('1', '10', '274') , 0
3 , ('1', '10', '506') , 1
2 , ('4', '10', '1070') , 0
4 , ('3', '90', '640') , 34
3 , ('2', '170', '15') , 1
3 , ('3', '30', '1120') , 0
2 , ('3', '30', '1490') , 2
3 , ('2', '100', '10') , 0
3 , ('1', '20', '5') , 16
